Name,Rarity,Price
Lapras,Uncommon,$0.09 
Latios,Rare,$0.14 
Lopunny,Uncommon,$0.07 
Luxio,Uncommon,$0.05 
Magcargo,Uncommon,$0.07 
Mandibuzz,Uncommon,$0.07 
Mantine,Common,$0.03 
Marill,Common,$0.07 
Mawile,Common,$0.04 
Meloetta,Rare,$0.22 
Meowth,Common,$0.03 
Mew V,Ultra Rare,$7.39 
Mew V (Full Art),Ultra Rare,$18.35 
Mew VMAX (Alternate Art Secret),Secret Rare,$76.38 
Minun,Common,$0.04 
Morpeko (109),Common,$0.04 
Mudkip,Common,$0.04 
Musharna,Uncommon,$0.05 
Ninetales (31),Uncommon,$0.11 
Oricorio,Rare,$0.22 
Pancham,Common,$0.04 
Panpour,Common,$0.02 
Pansear,Common,$0.03 
Phantump,Common,$0.04 
Plusle,Common,$0.03 
Power Tablet (Secret),Secret Rare,$7.09 
Pyukumuku,Uncommon,$0.04 
Qwilfish,Common,$0.03 
Rillaboom VMAX,Ultra Rare,$2.26 
Rotom,Common,$0.03 
Sandshrew,Common,$0.05 
Sandygast,Common,$0.05 
Schoolboy (Full Art),Ultra Rare,$3.36 
Schoolgirl,Uncommon,$0.05 
Schoolgirl (Secret),Secret Rare,$5.73 
Sharpedo,Uncommon,$0.05 
Shauna (Full Art),Ultra Rare,$5.16 
Shellder,Common,$0.05 
Shinx,Common,$0.04 
Sidney,Uncommon,$0.05 
Sidney (Secret),Secret Rare,$6.70 
Simipour,Uncommon,$0.03 
Simisear,Uncommon,$0.05 
Sizzlipede (47),Common,$0.03 
Skaters' Park,Uncommon,$0.03 
Sliggoo,Uncommon,$0.06 
Smeargle,Common,$0.03 
Snorlax,Common,$0.07 
Spongy Gloves,Uncommon,$0.04 
Starmie,Holo Rare,$0.26 
Steelix,Holo Rare,$0.20 
Swadloon,Uncommon,$0.07 
Togedemaru,Uncommon,$0.05 
Toxel (105),Common,$0.04 
Toxicroak,Rare,$0.18 
Toxtricity (108),Holo Rare,$0.21 
Trevenant,Uncommon,$0.06 
Tsareena V,Ultra Rare,$1.07 
Turtonator,Uncommon,$0.06 
Tyranitar V,Ultra Rare,$1.15 
Vikavolt,Rare,$0.16 
Voltorb,Common,$0.03 
Vulpix (28),Common,$0.05 
Wigglytuff,Uncommon,$0.06 
Wooloo (222),Common,$0.03 
Zarude,Uncommon,$0.07 
Zoroark,Uncommon,$0.06 
Accelgor,Rare,$0.08 
Appletun V,Ultra Rare,$0.85 
Arcanine,Rare,$0.13 
Azumarill,Rare,$0.11 
Barraskewda,Uncommon,$0.07 
Battle VIP Pass,Uncommon,$0.91 
Blissey,Rare,$0.13 
Boltund V (Full Art),Ultra Rare,$2.88 
Boltund VMAX (Secret),Secret Rare,$10.11 
Breloom V,Ultra Rare,$0.97 
Buneary,Common,$0.03 
Butterfree,Holo Rare,$0.30 
Caterpie,Common,$0.03 
Centiskorch (48),Rare,$0.10 
Chandelure V,Ultra Rare,$1.02 
Chandelure VMAX,Ultra Rare,$1.90 
Chansey,Common,$0.05 
Chewtle,Common,$0.03 
Chili & Cilan & Cress (Full Art),Ultra Rare,$3.02 
Cinderace V (43),Ultra Rare,$1.05 
Cinderace VMAX,Ultra Rare,$3.62 
Clauncher,Common,$0.03 
Claydol,Rare,$0.08 
Cloyster,Rare,$0.17 
Code Card - Fusion Strike 3 Pack Blister [Eevee],Code Card,$0.28 
Code Card - Fusion Strike Booster Pack,Code Card,$0.11 
Code Card - Fusion Strike Elite Trainer Box,Code Card,$0.16 
Code Card - Hoopa V Box,Code Card,$0.28 
Code Card - Single Strike Urshifu VMAX Premium Collection,Code Card,$0.83 
Copperajah,Uncommon,$0.05 
Corvisquire,Uncommon,$0.02 
Crabominable V (Full Art),Ultra Rare,$2.33 
Croagunk,Common,$0.05 
Cross Switcher,Uncommon,$0.12 
Cufant,Common,$0.02 
Dancer (Full Art),Ultra Rare,$2.25 
Darkrai,Uncommon,$0.07 
Deoxys,Holo Rare,$0.26 
Diggersby,Uncommon,$0.04 
Dragapult,Holo Rare,$0.15 
Drednaw,Uncommon,$0.05 
Drilbur,Common,$0.04 
Dunsparce,Uncommon,$0.08 
Eelektrik,Uncommon,$0.04 
Eevee,Common,$0.03 
Electrode,Rare,$0.09 
Elesa's Sparkle (Full Art),Ultra Rare,$10.50 
Espeon VMAX (Alternate Art Secret),Secret Rare,$110.09 
Falinks (154),Uncommon,$0.04 
Farewell Bell,Uncommon,$0.02 
Fire Energy (Secret),Secret Rare,$11.65 
Frosmoth,Uncommon,$0.03 
Galarian Corsola,Common,$0.04 
Galarian Darmanitan,Uncommon,$0.07 
Galarian Linoone,Uncommon,$0.11 
Galarian Obstagoon,Holo Rare,$0.23 
Galarian Zigzagoon,Common,$0.04 
Genesect V,Ultra Rare,$4.86 
Genesect V (Full Art),Ultra Rare,$10.47 
Gengar VMAX,Ultra Rare,$17.59 
Geodude,Common,$0.04 
Gliscor,Uncommon,$0.04 
Goodra,Rare,$0.18 
Gorebyss,Rare,$0.13 
Granbull,Rare,$0.11 
Grass Energy (Secret),Secret Rare,$10.06 
Greedent V,Ultra Rare,$1.02 
Greedent V (Full Art),Ultra Rare,$3.53 
Greedent VMAX (Secret),Secret Rare,$7.31 
Grimmsnarl,Holo Rare,$0.21 
Grubbin,Common,$0.02 
Hawlucha,Uncommon,$0.05 
Heliolisk,Uncommon,$0.06 
Hoopa V (Full Art),Ultra Rare,$4.13 
Impidimp,Common,$0.07 
Inteleon V,Ultra Rare,$1.66 
Inteleon VMAX (Alternate Art Secret),Secret Rare,$27.04 
Judge,Uncommon,$0.12 
Kangaskhan,Rare,$0.08 
Landorus,Holo Rare,$0.18 
Latias,Rare,$0.17 
Leavanny,Rare,$0.17 
Lucario V,Ultra Rare,$1.20 
Luxray,Rare,$0.15 
Makuhita,Common,$0.04 
Mankey,Common,$0.04 
Maractus,Rare,$0.10 
Marshtomp,Uncommon,$0.10 
Melmetal,Holo Rare,$0.21 
Meltan,Common,$0.03 
Metapod,Uncommon,$0.05 
Mew V (Alternate Full Art),Ultra Rare,$43.30 
Mew VMAX,Ultra Rare,$28.81 
Mew VMAX (Secret),Secret Rare,$47.22 
Morgrem,Uncommon,$0.07 
Morpeko (179),Common,$0.09 
Munna,Common,$0.03 
Ninetales (30),Uncommon,$0.09 
Onix,Common,$0.04 
Palossand,Rare,$0.12 
Pangoro,Uncommon,$0.04 
Pansage,Common,$0.03 
Persian,Uncommon,$0.08 
Pikachu V,Ultra Rare,$1.37 
Power Tablet,Uncommon,$0.16 
Primeape,Uncommon,$0.04 
Quick Ball,Uncommon,$0.45 
Rillaboom V,Ultra Rare,$1.15 
Rookidee,Common,$0.05 
Sandaconda V (Alternate Full Art),Ultra Rare,$6.39 
Sandslash,Uncommon,$0.05 
Schoolboy,Uncommon,$0.05 
Schoolboy (Secret),Secret Rare,$5.36 
Schoolgirl (Full Art),Ultra Rare,$4.52 
Sewaddle,Common,$0.03 
Shauna,Uncommon,$0.05 
Shauna (Secret),Secret Rare,$9.24 
Shelmet,Common,$0.03 
Shroomish,Common,$0.05 
Sidney (Full Art),Ultra Rare,$3.18 
Sigilyph,Common,$0.05 
Simisage,Uncommon,$0.03 
Sizzlipede (46),Common,$0.04 
Skarmory,Common,$0.03 
Skitty,Common,$0.04 
Slugma,Common,$0.03 
Snom,Common,$0.04 
Snubbull,Common,$0.03 
Stantler,Uncommon,$0.06 
Staryu,Common,$0.05 
Stufful,Common,$0.02 
Swampert,Holo Rare,$0.29 
Totodile,Common,$0.04 
Toxel (106),Common,$0.06 
Toxtricity (107),Holo Rare,$0.24 
Training Court (Secret),Secret Rare,$8.35 
Trubbish,Common,$0.04 
Tsareena V (Full Art),Ultra Rare,$2.16 
Tynamo,Common,$0.04 
Victini,Uncommon,$0.06 
Virizion,Rare,$0.12 
Vullaby,Common,$0.04 
Vulpix (29),Common,$0.04 
Wooloo (221),Common,$0.05 
Yveltal,Rare,$0.12 
Zeraora,Rare,$0.15 
Zorua,Common,$0.07 
Code Card - Celebrations Booster Pack,Code Card,$0.10 
Code Card - Celebrations Collection [Dragapult Prime],Code Card,$0.35 
Code Card - Celebrations Collection [Pikachu V-UNION],Code Card,$0.14 
Code Card - Celebrations Deluxe Pin Collection [Zacian LV. X],Code Card,$0.20 
Code Card - Celebrations Pokemon Center Elite Trainer Box (Exclusive),Code Card,$0.84 
Code Card - Celebrations Special Collection - V Memories,Code Card,$0.22 
Cosmoem,Holo Rare,$0.15 
Dialga,Holo Rare,$0.11 
Flying Pikachu VMAX,Ultra Rare,$1.94 
Ho-Oh,Holo Rare,$0.13 
Lugia,Holo Rare,$0.14 
Mew,Holo Rare,$0.27 
Palkia,Holo Rare,$0.14 
Professor's Research,Holo Rare,$0.18 
Reshiram,Holo Rare,$0.10 
Surfing Pikachu V,Ultra Rare,$0.95 
Xerneas,Holo Rare,$0.13 
Zacian V,Ultra Rare,$0.72 
Zekrom,Holo Rare,$0.12 
Code Card - Celebrations Collection [Dark Sylveon V],Code Card,$0.07 
Code Card - Celebrations Collection [Lance's Charizard V],Code Card,$0.11 
Code Card - Celebrations Collector Chest,Code Card,$0.12 
Code Card - Celebrations Elite Trainer Box,Code Card,$0.08 
Code Card - Celebrations Premium Figure Collection [Pikachu VMAX],Code Card,$0.24 
Code Card - Celebrations Ultra-Premium Collection,Code Card,$1.14 
Cosmog,Holo Rare,$0.08 
Flying Pikachu V,Ultra Rare,$0.88 
Groudon,Holo Rare,$0.11 
Kyogre,Holo Rare,$0.15 
Lunala,Holo Rare,$0.13 
Mew (Secret),Secret Rare,$41.14 
Pikachu,Holo Rare,$0.52 
Professor's Research (Full Art),Ultra Rare,$1.59 
Solgaleo,Holo Rare,$0.17 
Surfing Pikachu VMAX,Ultra Rare,$2.08 
Yveltal,Holo Rare,$0.16 
Zamazenta V,Ultra Rare,$0.71 
______'s Pikachu,Classic Collection,$6.64 
Charizard,Classic Collection,$74.28 
Cleffa,Classic Collection,$0.59 
Donphan (Prime),Classic Collection,$2.01 
Gardevoir ex (Delta Species),Classic Collection,$8.72 
Imposter Professor Oak,Classic Collection,$0.38 
M Rayquaza EX,Classic Collection,$15.62 
Mewtwo EX,Classic Collection,$12.61 
Rocket's Admin.,Classic Collection,$0.48 
Shining Magikarp,Classic Collection,$19.88 
Team Magma's Groudon,Classic Collection,$0.64 
Venusaur,Classic Collection,$4.35 
Zekrom,Classic Collection,$3.72 
Blastoise,Classic Collection,$5.90 
Claydol,Classic Collection,$0.51 
Dark Gyarados,Classic Collection,$0.86 
Garchomp C LV.X,Classic Collection,$2.29 
Here Comes Team Rocket!,Classic Collection,$0.34 
Luxray GL LV.X,Classic Collection,$2.48 
Mew ex,Classic Collection,$5.21 
Reshiram,Classic Collection,$3.52 
Rocket's Zapdos,Classic Collection,$0.88 
Tapu Lele GX,Classic Collection,$8.29 
Umbreon Star,Classic Collection,$26.91 
Xerneas EX,Classic Collection,$8.72 
Altaria,Rare,$0.15 
Appletun,Rare,$0.12 
Arctovish V,Ultra Rare,$0.98 
Aroma Lady,Uncommon,$0.06 
Aroma Lady (Secret),Secret Rare,$10.06 
Bagon,Common,$0.04 
Boldore,Uncommon,$0.04 
Boost Shake (Secret),Secret Rare,$5.59 
Carvanha,Common,$0.03 
Code Card - Eevee Evolutions Tin [Flareon V],Code Card,$0.24 
Code Card - Eevee Evolutions Tin [Vaporeon V],Code Card,$0.25 
Code Card - Evolving Skies 3 Pack Blister [Umbreon],Code Card,$0.24 
Code Card - Evolving Skies Build & Battle Box,Code Card,$0.73 
Code Card - Evolving Skies Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon],Code Card,$0.32 
Code Card - Evolving Skies Pokemon Center Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon],Code Card,$1.03 
Code Card - Evolving Skies Premium Checklane Blister [Emboar],Code Card,$0.20 
Code Card - Evolving Skies Premium Checklane Blister [Luxray],Code Card,$0.22 
Code Card - Evolving Skies Single Pack Blister [Eevee],Code Card,$0.19 
Code Card - Greninja V-UNION Special Collection,Code Card,$1.08 
Code Card - Zacian V-UNION Special Collection,Code Card,$1.47 
Copycat (Full Art),Ultra Rare,$3.78 
Cresselia (Secret),Secret Rare,$13.00 
Cryogonal,Common,$0.09 
Crystal Cave (Secret),Secret Rare,$11.69 
Darkness Energy (Secret),Secret Rare,$24.60 
Dialga,Holo Rare,$0.27 
Dracozolt V,Ultra Rare,$1.09 
Dracozolt VMAX,Ultra Rare,$2.28 
Dragonite V (Alternate Full Art),Ultra Rare,$81.82 
Drampa,Rare,$0.11 
Drowzee,Common,$0.03 
Duraludon V (Alternate Full Art),Ultra Rare,$18.58 
Duraludon VMAX,Ultra Rare,$5.36 
Duraludon VMAX (Secret),Secret Rare,$12.92 
Eevee,Common,$0.05 
Eldegoss,Holo Rare,$0.34 
Emolga,Common,$0.04 
Espeon V,Ultra Rare,$1.49 
Espeon V (Full Art),Ultra Rare,$13.97 
Feebas,Common,$0.05 
Flabebe,Common,$0.04 
Flareon V (Full Art),Ultra Rare,$14.56 
Fletchinder,Uncommon,$0.03 
Floette,Uncommon,$0.04 
Froslass (Secret),Secret Rare,$10.88 
Full Face Guard (Secret),Secret Rare,$4.99 
Galarian Moltres,Holo Rare,$1.36 
Garbodor V,Ultra Rare,$1.08 
Garbodor VMAX,Ultra Rare,$1.97 
Gigalith,Rare,$0.10 
Glaceon V (Alternate Art Full),Ultra Rare,$58.04 
Glaceon VMAX,Ultra Rare,$4.31 
Glaceon VMAX (Secret),Secret Rare,$21.30 
Golurk V,Ultra Rare,$0.99 
Golurk V (Full Art),Ultra Rare,$4.45 
Gordie (Full Art),Ultra Rare,$4.79 
Gossifleur,Common,$0.04 
Gyarados V,Ultra Rare,$1.79 
Gyarados VMAX,Ultra Rare,$5.85 
Herdier,Uncommon,$0.04 
Hippowdon,Uncommon,$0.05 
Hoppip,Common,$0.04 
Hypno,Uncommon,$0.05 
Jolteon V (Full Art),Ultra Rare,$17.40 
Jumpluff,Holo Rare,$0.27 
Lanturn,Uncommon,$0.03 
Leafeon V (Alternate Full Art),Ultra Rare,$60.80 
Leafeon VMAX,Ultra Rare,$5.95 
Leafeon VMAX (Secret),Secret Rare,$21.90 
Lilligant,Rare,$0.10 
Litleo,Common,$0.03 
Lotad,Common,$0.05 
Ludicolo,Holo Rare,$0.52 
Lycanroc V,Ultra Rare,$1.11 
Lycanroc VMAX,Ultra Rare,$3.59 
Mareep,Common,$0.06 
Medicham V,Ultra Rare,$1.47 
